Word,Front,Mid,Back,Flat,Of,'s,MEADOW,SWAMP,ICE,SAND,DEADWATER,STEAMVENTS,PURPCRYST,LAVA,POOLS,TWILIGHT,OBSIDIAN
glen,,,,,1,1,1,1,,,,,,,1,1,
gloom,,,,,1,1,,,,,1,,1,,,1,1
shade,,,,,,1,,,,,1,,1,,,1,1
crevice,,,,1,,,,,1,,,1,,1,,,1
fissure,,,,,,1,,,1,,,1,,1,,,1
desert,,,,1,1,,,,,1,,,,,,,
wasteland,,,,1,1,,,,,1,,,,,,,
dustland,,,,1,,,,,,1,,,,,,,
rift,,,,,1,,,,,,,1,,1,,,1
chasm,,,,1,1,,,,,,1,1,1,1,,,1
cleft,,,,1,,,,,,,,1,1,1,,,1
